Place	Song	Artist	Image	Writeup
28	$20	boygenius	https://m.media-amazon.com/images/I/61uivya+h7L.jpg	
27	Speed Drive	Charli XCX	https://ia902603.us.archive.org/9/items/mbid-bd6fcb42-3c52-4b78-94c2-db48ea2afb4d/mbid-bd6fcb42-3c52-4b78-94c2-db48ea2afb4d-36056104534_thumb500.jpg	
26	Winnipesaukee	Model/Actriz	https://ia801408.us.archive.org/33/items/mbid-e6e7db58-426c-4579-b4f5-1f8f93c2e9b7/mbid-e6e7db58-426c-4579-b4f5-1f8f93c2e9b7-36749784488_thumb500.jpg	
25	Shit Talk	Sufjan Stevens	https://m.media-amazon.com/images/I/A1mH2ERj9wL.jpg	
24	never getting better	Blind Equation	https://ia902608.us.archive.org/14/items/mbid-2cabedce-d0df-4725-b8ac-af57e7f853cb/mbid-2cabedce-d0df-4725-b8ac-af57e7f853cb-35992477469_thumb500.jpg	
23	get him back!	Olivia Rodrigo	https://m.media-amazon.com/images/I/91rzIsvpwjL.jpg	
22	Not Even Almost	El Ten Eleven	https://ia804705.us.archive.org/7/items/mbid-a914b0fb-7619-4148-bc54-86fe815bc762/mbid-a914b0fb-7619-4148-bc54-86fe815bc762-34849179520_thumb500.jpg	
21	No FX	Hannah Diamond	https://ia600505.us.archive.org/6/items/mbid-013601a8-2926-49af-b22d-14e0e91c0f5b/mbid-013601a8-2926-49af-b22d-14e0e91c0f5b-36476348216_thumb500.jpg	
20	Feelings Plain	Overmono	https://ia804700.us.archive.org/15/items/mbid-7d60c408-9109-410c-98d2-636ed6c780e2/mbid-7d60c408-9109-410c-98d2-636ed6c780e2-35678248052_thumb500.jpg	
19	Calling All The Gods	Feist	https://m.media-amazon.com/images/I/81SZzwkiOIL.jpg	
18	coronal	Covet	https://m.media-amazon.com/images/I/91WQ+qtHrvL.jpg	
17	Sunshine Baby	The Japanese House	https://m.media-amazon.com/images/I/611pxWcH9CL.jpg	
16	The Window	Ratboys	https://m.media-amazon.com/images/I/81NZX4MYeaL.jpg	A testament to a catchy motif making a great song.
15	Lips	Jane Remover	https://ia800506.us.archive.org/32/items/mbid-57c61c03-438e-4b62-b53f-38bbee7d82f6/mbid-57c61c03-438e-4b62-b53f-38bbee7d82f6-36528172711_thumb500.jpg	This song sold me on the mystery and atmosphere of Jane Remover for the rest of the album. Truly teleports me to somewhere strange and far and unreal.
14	kisses	Slowdive	https://ia803209.us.archive.org/11/items/mbid-1f7ba992-2ec5-4a80-a64f-435a02a76b17/mbid-1f7ba992-2ec5-4a80-a64f-435a02a76b17-36518874963_thumb500.jpg	As the first Slowdive single from this album, this song signaled what I thought was an experimental direction for them. While the rest of the album failed to knock me out, "kisses" delivers with a bright, shoegazey vibe.
13	Pretty In Possible	Caroline Polachek	https://m.media-amazon.com/images/I/71fz6o1OlKL.jpg	Not making it into the stream of singles released in 2022, the melody from "Pretty In Possible" is permanently stuck in my head on a day-to-day basis. This song expertly displays Caroline's songcraft and range.
12	Spinning	Wishy	https://ia600509.us.archive.org/21/items/mbid-8468ce0a-a1b2-479e-b919-37dca3be2dc9/mbid-8468ce0a-a1b2-479e-b919-37dca3be2dc9-37066442261_thumb500.jpg	Probably my latest addition to this list, Nina Pitchkites sings about being wayward but reminiscent, while upbeat guitars chug alongside her. The dichotomy captures feelings of both ennui and disruption that's so common now.
11	Hot Rotten Grass Smell	Wednesday	https://m.media-amazon.com/images/I/A1rvMu6efFL.jpg	Discord, a plodding guitar transforming into cacophony, and a slow, measured lyrical nature. This song sets the ideal tone for the rest of Wednesday's brooding, perfected album.
10	Psychedelic Switch	Carly Rae Jepsen	https://ia902700.us.archive.org/35/items/mbid-b8719c22-9f0a-4fd7-a45b-8c844f1b6482/mbid-b8719c22-9f0a-4fd7-a45b-8c844f1b6482-36302255712_thumb500.jpg	One must wonder, at this point, if Carly saves her best work for the B-sides that seem to follow every record. 
9	Turbines/Pigs	Black Country, New Road	https://m.media-amazon.com/images/I/81bEx6EPcbL.jpg	In the way that anger can verge on the precipice of violence, "Turbines/Pigs" walks between a lullaby and the head-ringing sound of a bull stampeding through a middle school band room.
8	Super Shy	NewJeans	https://ia902603.us.archive.org/22/items/mbid-3b946e4c-2603-4d64-9df0-e61804f84a44/mbid-3b946e4c-2603-4d64-9df0-e61804f84a44-36120364189_thumb500.jpg	I dabble in k-pop, and this blends the bubbliness one might expect from a standard pop foray with the smoothness and lightness from current American trends.
7	Do It Faster	Militarie Gun	https://ia801607.us.archive.org/34/items/mbid-828a6f7a-f0c5-4c4d-b385-5177a480116b/mbid-828a6f7a-f0c5-4c4d-b385-5177a480116b-35145321951_thumb500.jpg	I assume eating 200 volts of electricity is the same feeling as when the first "OOH OOH" comes in.
6	Jean	Hovvdy	https://ia800508.us.archive.org/25/items/mbid-43643f33-45bf-4da1-91a9-0e6b47b899b5/mbid-43643f33-45bf-4da1-91a9-0e6b47b899b5-37237826243_thumb500.jpg	Hovvdy's transformation from jangly indie folk into dynamic pop music is everything I need and "Jean" is the best example yet. Relaxed vocals, and an emo-esque commitment to stripped back lyrics brings a feeling of watching a friend comfortably play this on a warm summer porch.
5	I Thought You'd Change	Hotline TNT	https://m.media-amazon.com/images/I/71OpsbB+m3L.jpg	The intro riff on this song has a dedicated neural pathway in my brain. I think about it when I'm doing dishes.
4	Bug Like an Angel	Mitski	https://m.media-amazon.com/images/I/81EdGU1MkWL.jpg	The line "sometimes a drink feels like family" burnt a hole in my heart Mitski that's not fair you can't keep doing this. 
3	757	100 gecs	https://m.media-amazon.com/images/I/91QTTTJzp4L.jpg	I liked this song so much I tried to learn all the words like I was 15 years old committing bad rap songs to memory but my brain is full of worms now so it didn't work. I got pretty far though, I know most of the chorus.
2	Brave	DJ Sabrina the Teenage DJ	https://m.media-amazon.com/images/I/71HLlkJ8ufL.jpg	In the pantheon of DJSTTDJ, a lot of songs blend together. It's a beautiful blend that keeps giving, but only rarely does a song or part of a song transcend the context and break me out of my reverie. "Brave" is a transcendant banger, and it feels like a pop song from another dimension. At this point I have to assume that's where Sabrina harnesses most of her musical power.
1	Top Dog	Magdalena Bay	https://m.media-amazon.com/images/I/71xklk5uPzL.jpg	This is a silly song not just about being top dog, but one rife with metaphors and references to Laura Dern. The problem (not a real problem) is it just oozes vibes, there's nothing tongue-in-cheek about the dog barks in the background. At face value, a song like this shouldn't feel so cool, but Magdalena Bay crafts such a feel-good, feel-badass track about being the number one dog chased all over by paparazzi. Can't get enough.
