Artist,Album,EP/LP,Released,Listened,Score,Stars,Re-rate,Vibes
Cindy Lee,Diamond Jubilee,LP,March 29,April 3,4.0,★★★★,4.35,"hypnagogic pop, noise pop, noise, no wave,"
MJ Lenderman,Manning Fireworks,LP,September 6,September 6,4.0,★★★★,4.32,"alt-country, slowcore, indie rock, lo-fi,"
Charly Bliss,Forever,LP,August 16,August 16,4.0,★★★★,4.31,"power pop, indie rock, indie pop, indie,"
Drug Church,PRUDE,LP,October 4,October 4,4.5,★★★★✬,4.30,"hardcore, post-hardcore, punk, hardcore punk,"
Jamie xx,In Waves,LP,September 20,September 20,4.0,★★★★,4.30,"electronic, dubstep, future garage, uk garage,"
Lip Critic,Hex Dealer,LP,May 17,May 17,4.5,★★★★✬,4.29,"punk, noise, breakbeat, experimental,"
Fred again..,ten days,LP,September 6,September 6,4.5,★★★★✬,4.29,"house, electronic, dance, uk garage,"
O.,WeirdOs,LP,June 21,June 21,4.5,★★★★✬,4.29,"jazz, art punk, experimental, avant-garde,"
Mount Eerie,Night Palace,LP,November 1,November 4,4.0,★★★★,4.29,"lo-fi, folk, indie, experimental,"
Minnows,Foreign Moon,LP,March 29,April 2,4.0,★★★★,4.28,"alternative, emo, indie rock, under 2000 listeners,"
Kelly Lee Owens,Dreamstate,LP,October 18,October 24,4.0,★★★★,4.28,"electronic, downtempo, ambient pop, art pop,"
Fontaines D.C.,Romance,LP,August 23,August 26,4.0,★★★★,4.28,"post-punk, crank wave, indie rock, irish,"
Foxing,Foxing,LP,September 13,September 16,4.0,★★★★,4.27,"emo, math rock, post-rock, midwest emo,"
State Faults,Children Of The Moon,LP,July 26,July 26,4.0,★★★★,4.26,"screamo, post-rock, post-hardcore, hardcore,"
Godspeed You! Black Emperor,"“NO TITLE AS OF 13 FEBRUARY 2024 28,340 DEAD”",LP,October 4,October 4,4.0,★★★★,4.26,"post-rock, instrumental, experimental, ambient,"
DIIV,Frog in Boiling Water,LP,May 24,May 25,4.5,★★★★✬,4.25,"shoegaze, dream pop, lo-fi, psychedelic,"
Alcest,Les Chants de l'Aurore,LP,June 21,June 25,4.0,★★★★,4.25,"shoegaze, black metal, post-rock, atmospheric black metal,"
Vampire Weekend,Only God Was Above Us,LP,April 5,April 5,4.0,★★★★,4.25,"indie, indie rock, indie pop, alternative,"
Whispers,Yom-Ma-Lok,LP,December 14,December 31,4.0,★★★★,4.24,"funk, soul, hardcore, metalcore,"
Harmony,Gossip,LP,October 11,December 4,4.0,★★★★,4.24,"power metal, progressive metal, christian metal, melodic metal,"
Mannequin Pussy,I Got Heaven,LP,March 1,March 1,4.0,★★★★,4.24,"noise rock, garage rock, indie rock, punk rock,"
Christopher Owens,I Wanna Run Barefoot Through Your Hair,LP,October 18,October 18,4.0,★★★★,4.24,"indie pop, indie, chamber pop, american,"
Various Artists,The Shape of Punk to Come Obliterated,LP,November 8,November 8,4.0,★★★★,4.23,"electronic, indie, mistagged artist, jazz,"
Doechii,Alligator Bites Never Heal,LP,August 30,September 3,4.0,★★★★,4.23,"rap, rnb, pop, hip-hop,"
MUZZLE,MUZZLE,LP,November 22,December 2,4.0,★★★★,4.22,"indie rock, rock, punk, alternative rock,"
Combat,Stay Golden,LP,August 16,August 16,4.0,★★★★,4.21,"nsbm, black metal, thrash metal, speed metal,"
Bat For Lashes,The Dream of Delphi,LP,May 31,June 5,4.0,★★★★,4.21,"female vocalists, indie, alternative, singer-songwriter,"
A.G. Cook,Britpop,LP,May 10,May 10,4.0,★★★★,4.21,"bubblegum bass, electronic, pc music, pop,"
Couch Slut,You Could Do It Tonight,LP,April 19,May 2,4.0,★★★★,4.21,"noise rock, sludge, hardcore, sludge metal,"
Autre Ne Veut,"Love, Guess Who?? (XXOOXX)",LP,November 1,November 1,4.0,★★★★,4.21,"synthpop, electronic, lo-fi, indie,"
Joey Valence & Brae,NO HANDS,LP,June 7,October 11,4.5,★★★★✬,4.20,"hip hop, hip-hop, breakbeat, rap,"
"Hey, Ily","Hey, I Loathe You!",LP,October 25,October 30,4.0,★★★★,4.20,"emo, power pop, chiptune, lo-fi,"
Origami Angel,Feeling Not Found,LP,September 27,September 27,4.0,★★★★,4.20,"emo, pop punk, midwest emo, math rock,"
µ-Ziq,Grush,LP,June 14,June 27,4.0,★★★★,4.20,"idm, electronic, experimental, ambient,"
Glassing,From the Other Side of the Mirror,LP,April 26,May 8,4.0,★★★★,4.20,"post-hardcore, screamo, black metal, post-black metal,"
Machine Girl,MG Ultra,LP,October 18,October 21,4.0,★★★★,4.20,"breakcore, digital hardcore, electronic, idm,"
Bottom Bracket,I'm So Afraid Of Where,LP,November 8,November 13,4.0,★★★★,4.19,"math rock, indie rock, punk rock, pop punk,"
Water Damage,In E,LP,April 12,May 3,4.0,★★★★,4.19,"krautrock, rock, instrumental, experimental,"
Astrid Sonne,Great Doubt,LP,January 26,February 15,4.0,★★★★,4.19,"ambient, experimental, electronic, glitch,"
Starlight Excellent,Planet Chasers,LP,August 15,August 15,4.0,★★★★,4.18,"instrumental, post hardcore,"
Parannoul,Sky Hundred,LP,August 7,August 8,4.0,★★★★,4.18,"shoegaze, emo, post-rock, korean,"
toe,Now I See the Light,LP,July 12,July 15,4.0,★★★★,4.18,"post-rock, math rock, instrumental, japanese,"
Knocked Loose,You Won't Go Before You're Supposed To,LP,May 10,May 13,4.0,★★★★,4.17,"hardcore, metalcore, beatdown hardcore, metallic hardcore,"
Gulfer,Third Wind,LP,March 1,March 1,4.0,★★★★,4.17,"emo, math rock, indie, canadian,"
Blue Bendy,So Medieval,LP,April 12,May 2,4.0,★★★★,4.15,"indie rock, post-punk, art rock, art punk,"
Heems • Lapgan,LAFANDAR,LP,February 16,February 16,4.0,★★★★,4.15,"hip-hop, rap, hip hop, das racist,"
Navy Blue,Memoirs In Armour,LP,August 2,August 6,4.0,★★★★,4.14,"rap, hip-hop, jazz rap, hip hop,"
Wand,Vertigo,LP,July 26,July 26,4.0,★★★★,4.14,"psychedelic rock, garage rock, psychedelic, heavy psych,"
REZN,Burden,LP,June 14,July 2,4.0,★★★★,4.14,"doom metal, stoner metal, stoner doom, psychedelic rock,"
Snarls,"With Love,",LP,May 3,May 6,4.0,★★★★,4.14,"indie pop, indie rock, indie, female vocalists,"
Lauren Mayberry,Vicious Creature,LP,December 6,December 9,4.0,★★★★,4.13,"electronic, electropop, pop, female vocalists,"
GLOK • Timothy Clerkin,Alliance,LP,November 8,November 14,4.0,★★★★,4.13,"black metal, electronic, electronica, united kingdom,"
see through person,every way of living,LP,October 25,November 5,4.0,★★★★,4.13,"math rock, emo, pop punk, midwest emo,"
Hidden Mothers,Erosion / Avulsion,LP,November 29,December 3,4.0,★★★★,4.12,"screamo, post-black metal, black metal, post-hardcore,"
The Marías,Submarine,LP,May 31,June 4,4.0,★★★★,4.12,"indie pop, indie, dream pop, alternative,"
Boldy James & Harry Fraud,The Bricktionary,LP,November 22,December 2,4.0,★★★★,4.11,"rap, hip-hop, gangsta rap, detroit,"
Clothing,From Memory,LP,July 26,July 30,4.0,★★★★,4.11,"psychedelic, alt-country, country, goth,"
Blood Incantation,Absolute Nowhere,LP,October 4,October 4,4.0,★★★★,4.10,"death metal, technical death metal, progressive death metal, ambient,"
Maxo Kream,Personification,LP,November 15,November 15,4.0,★★★★,4.10,"trap, hip-hop, houston, hip hop,"
claire rousay,The Bloody Lady,LP,November 8,November 12,4.0,★★★★,4.10,"experimental, ambient, electronic, electroacoustic,"
High Vis,Guided Tour,LP,October 18,October 21,4.0,★★★★,4.10,"post-punk, crank wave, british, punk rock,"
Mabe Fratti,Sentir Que No Sabes,LP,June 28,June 28,4.0,★★★★,4.10,"ambient pop, art pop, drone, experimental,"
Hovvdy,Hovvdy,LP,April 26,April 26,4.0,★★★★,4.10,"lo-fi, shoegaze, slowcore, indie,"
Four Tet,Three,LP,March 15,March 15,4.0,★★★★,4.10,"electronic, experimental, idm, electronica,"
Michael Kiwanuka,Small Changes,LP,November 22,December 2,4.0,★★★★,4.09,"soul, blues, singer-songwriter, jazz,"
Ravyn Lenae,Bird's Eye,LP,August 9,August 14,4.0,★★★★,4.09,"rnb, soul, neo-soul, alternative rnb,"
Hana Vu,Romanticism,LP,May 3,May 7,4.0,★★★★,4.09,"dream pop, indie, indie pop, lo-fi,"
DJ Sabrina The Teenage DJ,Sorcery,LP,December 6,December 6,4.0,★★★★,4.08,"outsider house, house, electronic, french house,"
How To Dress Well,I Am Toward You,LP,May 10,May 10,4.0,★★★★,4.08,"lo-fi, experimental, electronic, ambient,"
One True Pairing ,Endless Rain,LP,October 25,November 6,4.0,★★★★,4.07,"indie pop, new wave, electronic, synth pop,"
Speed,ONLY ONE MODE,LP,July 12,July 15,4.0,★★★★,4.06,"breakdown hardcore, metalcore, hardcore,"
Bibio,PHANTOM BRICKWORKS (LP II),LP,November 22,November 25,4.0,★★★★,4.05,"experimental, electronic, ambient, folktronica,"
Ab-Soul,Soul Burger,LP,November 8,November 11,4.0,★★★★,4.05,"hip-hop, rap, underground hip-hop, west coast rap,"
Yoo Doo Right,From the Heights of Our Pastureland,LP,November 8,November 8,4.0,★★★★,4.05,"post-rock, space rock, psychedelic rock, canada,"
Sinai Vessel,I SING,LP,July 26,July 29,4.0,★★★★,4.05,"indie, post-rock, emo, indie rock,"
Clairo,Charm,LP,July 12,July 12,4.0,★★★★,4.05,"dream pop, bedroom pop, indie pop, lo-fi,"
Kneecap,Fine Art,LP,June 14,June 26,4.0,★★★★,4.05,"hip hop, rap, ireland, trap,"
Shabaka,"Perceive Its Beauty, Acknowledge Its Grace",LP,April 12,April 24,4.0,★★★★,4.05,"jazz, spiritual jazz, electronica, ambient,"
Hikaru Utada,SCIENCE FICTION,LP,April 10,April 12,4.0,★★★★,4.05,"j-pop, japanese, female vocalists, jpop,"
Francis Of Delirium,Lighthouse,LP,March 22,April 1,4.0,★★★★,4.05,"indie rock, luxembourg, rock, alternative,"
Faye Webster,Underdressed at the Symphony,LP,March 1,March 1,4.0,★★★★,4.05,"indie, singer-songwriter, indie folk, folk,"
Liquid Mike,Paul Bunyan's Slingshot,LP,February 2,February 2,4.0,★★★★,4.05,"power pop, indie rock, punk, alternative,"
Wild Pink,Dulling The Horns,LP,October 4,October 4,4.0,★★★★,4.05,"indie rock, indie, new york, american,"
Queen of Jeans,All Again,LP,June 28,June 28,4.0,★★★★,4.03,"indie, female vocalists, rock, indie rock,"
FERG,DAROLD,LP,November 8,November 13,4.0,★★★★,4.02,"hip-hop, trap, rap, hip hop,"
Luna Li,When a Thought Grows Wings,LP,August 23,September 4,4.0,★★★★,4.02,"indie pop, dream pop, psychedelic pop, canadian,"
Demersal,Demersal,LP,May 10,May 15,4.0,★★★★,4.01,"screamo, hardcore, post-hardcore, metal,"
Future Islands,People Who Aren't There Anymore,LP,January 26,January 29,4.0,★★★★,4.01,"new wave, electronic, experimental, synthpop,"
GloRilla,GLORIOUS,LP,October 11,October 11,4.0,★★★★,4.01,"rap, hip-hop, hip hop, memphis,"
Chat Pile,Cool World,LP,October 11,October 11,4.0,★★★★,4.00,"noise rock, sludge, sludge metal, post-hardcore,"
They Are Gutting a Body of Water,swanlike (loosies 2020-2023),LP,June 18,June 24,4.0,★★★★,4.00,"shoegaze, slowcore, noise rock, indie,"
Goat Girl,Below The Waste,LP,June 7,June 12,4.0,★★★★,4.00,"post-punk, crank wave, art punk, indie rock,"
Microwave,Let's Start Degeneracy,LP,April 26,April 30,4.0,★★★★,4.00,"rock, emo, alternative rock, vietnamese,"
Cloud Nothings,Final Summer,LP,April 19,April 19,4.0,★★★★,4.00,"indie rock, lo-fi, indie, noise pop,"
Fucked Up,Someday,LP,November 1,November 4,4.0,★★★★,3.99,"hardcore, hardcore punk, punk, canadian,"
Lightning Bug,No Paradise,LP,May 2,May 6,4.0,★★★★,3.98,"shoegaze, dream pop, indie pop, indie rock,"
Peel Dream Magazine,Rose Main Reading Room,LP,September 6,September 9,4.0,★★★★,3.98,"indie pop, dream pop, shoegaze, indie,"
Japandroids,Fate & Alcohol,LP,October 18,October 18,4.0,★★★★,3.95,"noise rock, garage rock, indie, indie rock,"
Denzel Curry,King Of The Mischievous South Vol. 2,LP,July 19,July 22,4.0,★★★★,3.95,"hip-hop, rap, hip hop, trap,"
Pissed Jeans,Half Divorced,LP,March 1,March 1,4.0,★★★★,3.95,"noise rock, punk, post-hardcore, hardcore,"
Bibi Club,Feu de garde,LP,May 10,May 15,4.0,★★★★,3.94,"french, indie pop, electro, français,"
Dog Unit,At Home,LP,April 5,May 6,4.0,★★★★,3.94,"instrumental, experimental, indie rock, post-rock,"
Ride,Interplay,LP,March 29,April 2,4.0,★★★★,3.90,"shoegaze, dream pop, indie, alternative,"
Sadness,i want to make something as beautiful as you,EP,August 24,December 10,4.5,★★★★✬,,"doom metal, depressive black metal, blackgaze, black metal,"
Counterparts,Heaven Let Them Die,EP,November 7,November 11,4.5,★★★★✬,,"melodic hardcore, metalcore, hardcore, melodic metalcore,"
Agriculture,Living is Easy,EP,May 3,May 8,4.5,★★★★✬,,"electronic, black metal, post-black metal, blackgaze,"
The Innocence Mission,Midwinter Swimmers,LP,November 29,December 3,4.0,★★★★,,"folk, indie, female vocalists, acoustic,"
Haley Heynderickx,Seed of a Seed,LP,November 8,November 12,4.0,★★★★,,"folk, singer-songwriter, indie folk, indie,"
The Body,The Crying Out of things,LP,November 8,November 8,4.0,★★★★,,"sludge, doom metal, experimental, sludge metal,"
Thirdface,Ministerial Cafeteria,LP,November 1,November 5,4.0,★★★★,,"hardcore, hardcore punk, metal, powerviolence,"
Squint,Big Hand,LP,October 25,October 30,4.0,★★★★,,"hardcore, rock, punk, hardcore punk,"
Jordana,Lively Premonition,LP,October 18,October 24,4.0,★★★★,,"pop, indie pop, indie rock, female vocalists,"
E L U C I D,REVELATOR,LP,October 11,October 14,4.0,★★★★,,"rap, hip-hop, experimental hip hop, underground hip-hop,"
Shovel Dance Collective,The Shovel Dance,LP,October 11,October 14,4.0,★★★★,,"folk, experimental, vocal, british,"
envy,Eunoia,LP,October 11,October 14,4.0,★★★★,,"screamo, post-rock, post-hardcore, hardcore,"
Oranssi Pazuzu,Muuntautuja,LP,October 11,October 14,4.0,★★★★,,"black metal, psychedelic black metal, experimental, psychedelic,"
Half Waif,See You At The Maypole,LP,October 4,October 8,4.0,★★★★,,"indie pop, indie, female vocalists, usa,"
Yasmin Williams,Acadia,LP,October 4,October 8,4.0,★★★★,,"folk, country, usa, acoustic,"
Balance And Composure,with you in spirit,LP,October 4,October 7,4.0,★★★★,,"post-hardcore, emo, indie, indie rock,"
Heriot,Devoured by the Mouth of Hell,LP,September 27,October 2,4.0,★★★★,,"metalcore, sludge metal, sludge, hardcore,"
Naima Bock ,Below a Massive Dark Land,LP,September 27,October 2,4.0,★★★★,,"folk, indie folk, indie pop, female vocalists, united kingdom,"
TSHA,Sad Girl,LP,September 27,September 30,4.0,★★★★,,"electronic, house, indie pop, progressive house,"
Nubya Garcia,Odyssey,LP,September 20,September 24,4.0,★★★★,,"jazz, jazz fusion, saxophone, british,"
worlds greatest dad,Better Luck Next Time,LP,September 13,September 19,4.0,★★★★,,"emo, indie, indie pop, indie rock,"
julie,my anti-aircraft friend,LP,September 13,September 17,4.0,★★★★,,"shoegaze, noise pop, danish, pop,"
Nala Sinephro,Endlessness,LP,September 6,September 10,4.0,★★★★,,"jazz, ambient, electronic, experimental,"
Sarah Kinsley ,Escaper,LP,September 6,September 10,4.0,★★★★,,"indie pop, singer-songwriter, dream pop, indie"
samlrc,A Lonely Sinner,LP,March 8,September 5,4.0,★★★★,,"post-rock, shoegaze, ambient, glitch pop,"
Nick Cave & The Bad Seeds,Wild God,LP,August 30,September 5,4.0,★★★★,,"rock, singer-songwriter, alternative, alternative rock,"
Nicole Miglis,Myopia,LP,August 23,September 4,4.0,★★★★,,"folk, kgrl, female vocalist, psychedelic pop,"
GIFT,Illuminator,LP,August 23,August 29,4.0,★★★★,,"progressive rock, hard rock, krautrock, german,"
Melt-Banana,3+5,LP,August 23,August 28,4.0,★★★★,,"noise rock, noise, experimental, japanese,"
Body Meat,Starchris,LP,August 23,August 28,4.0,★★★★,,"glitch hop, glitch pop, alternative rnb, philadelphia,"
The Soundcarriers,Through Other Reflections,LP,August 16,August 19,4.0,★★★★,,"psychedelic, british, indie, acid folk,"
Couplet,EP2,EP,December 6,December 10,4.0,★★★★,,"electronic, indie, alternative rock, emo,"
Shabaka,Possession,EP,December 6,December 9,4.0,★★★★,,"jazz, spiritual jazz, uk, new age,"
Grumpy,Wolfed,EP,October 25,November 14,4.0,★★★★,,"gangsta rap, chicano rap, west coast rap,"
Flying Lotus,Spirit Box,EP,October 29,November 5,4.0,★★★★,,"electronic, experimental, hip-hop, instrumental hip-hop,"
deary,Aurelia,EP,November 1,November 1,4.0,★★★★,,"dream pop, shoegaze, electronic, indie,"
Ben Quad,Ephemera,EP,October 25,October 30,4.0,★★★★,,"emo, pop punk, midwest emo, rock,"
CANDY,Flipping,EP,October 16,October 17,4.0,★★★★,,"hardcore, metalcore, hardcore punk, rock,"
Tanukichan,Circles,EP,September 20,September 23,4.0,★★★★,,"shoegaze, dream pop, indie, indie rock,"
samlrc,untitled,EP,June 13,September 6,4.0,★★★★,,"post-rock, shoegaze, ambient, glitch pop,"
Seefeel,Everything Squared,EP,August 30,September 3,4.0,★★★★,,"ambient, idm, electronic, shoegaze,"
Gulfer,LIGHTS OUT,EP,July 17,July 17,4.0,★★★★,,"emo, math rock, indie, canadian,"
DIME,Dime,EP,February 11,July 8,4.0,★★★★,,"russian rap, hip-hop, electronica, grunge,"
Last Dinosaurs,KYO,EP,April 5,April 10,4.0,★★★★,,"indie, indie rock, australian, rock,"
Shygirl,Club Shy,EP,February 9,February 9,4.0,★★★★,,"grime, electronic, uk bass, experimental,"
Sault,Acts of Faith,LP,December 25,December 31,3.5,★★★✬,,"soul, rnb, neo-soul, indie,"
Rafael Toral,Spectral Evolution,LP,February 23,December 31,3.5,★★★✬,,"experimental, ambient, drone, electronic,"
Familiars,Easy Does It,LP,November 15,December 16,3.5,★★★✬,,"stoner rock, shoegaze, stonegaze,"
Lifeless Dark,Forces of Nature's Transformation,LP,December 10,December 12,3.5,★★★✬,,"crust punk, stenchcore, thrash metal, crust,"
ROSÉ,rosie,LP,December 6,December 9,3.5,★★★✬,,"pop, rosé, korean, blackpink,"
TV Girl • George Clanton,Fauxllenium,LP,December 6,December 9,3.5,★★★✬,,"indie pop, lo-fi, indie, chillwave,"
TWICE,STRATEGY,LP,December 6,December 6,3.5,★★★✬,,"k-pop, kpop, korean, pop,"
Bedsore,Dreaming the Strike for Love,LP,November 29,December 3,3.5,★★★✬,,"death metal, progressive death metal, progressive metal, italian,"
Kim Deal,Nobody Loves You More,LP,November 22,December 2,3.5,★★★✬,,"goddess, rock, guitar, female vocalists,"
Red Hot Org,TRAИƧA,LP,November 22,November 26,3.5,★★★✬,,"jazz, hip hop, rap, american,"
The Green Child,Look Familiar,LP,November 15,November 19,3.5,★★★✬,,"indie pop, indie rock, synthpop, electronic,"
American Motors,Content,LP,October 4,November 13,3.5,★★★✬,,"indie rock, post-punk,"
State Champs,State Champs,LP,November 8,November 11,3.5,★★★✬,,"pop punk, easycore, alternative rock, pop-punk,"
Katie Gavin,What A Relief,LP,October 25,November 5,3.5,★★★✬,,"pop, usa, electropop, indie pop,"
Planes Mistaken For Stars,Matthew is Dead,LP,November 1,November 4,3.5,★★★✬,,"post-hardcore, hardcore, emo, punk,"
Lil Uzi Vert,Eternal Atake 2,LP,November 1,November 1,3.5,★★★✬,,"trap, rap, hip-hop, hip hop,"
Freddie Gibbs,You Only Die 1nce,LP,October 31,November 1,3.5,★★★✬,,"hip-hop, rap, gangsta rap, underground hip-hop,"
Elias Rønnenfelt,Heavy Glory,LP,October 25,October 30,3.5,★★★✬,,"post-punk, avant-garde, art rock, experimental,"
Laura Marling,Patterns in Repeat,LP,October 25,October 29,3.5,★★★✬,,"folk, female vocalists, singer-songwriter, indie,"
Tim Heidecker,Slipping Away,LP,October 18,October 22,3.5,★★★✬,,"comedy, folk, gospel, indie rock,"
Phantogram,Memory Of A Day,LP,October 18,October 22,3.5,★★★✬,,"trip-hop, electronic, indie, experimental,"
La Femme,Rock Machine,LP,October 11,October 16,3.5,★★★✬,,"new wave, french, cold wave, surf,"
Field Music,Limits of Language,LP,October 11,October 16,3.5,★★★✬,,"indie pop, indie, british, indie rock,"
The Linda Lindas,No Obligation,LP,October 11,October 14,3.5,★★★✬,,"riot grrrl, punk, punk rock, garage punk,"
Charli XCX,Brat andit's completely different but also still brat,LP,October 11,October 11,3.5,★★★✬,,"pop, synthpop, electronic, female vocalists,"
Touché Amoré,Spiral In A StraightLine,LP,October 11,October 11,3.5,★★★✬,,"screamo, hardcore, post-hardcore, melodic hardcore,"
MEMORIALS,Memorial Waterslides,LP,October 4,October 9,3.5,★★★✬,,"melodic hardcore, hardcore, screamo, hardcore punk,"
Geordie Greep,The New Sound,LP,October 4,October 9,3.5,★★★✬,,"progressive rock, art rock, jazz-rock, avant-prog,"
The Smile,Cutouts,LP,October 4,October 7,3.5,★★★✬,,"post-punk, art rock, alternative rock, indie rock,"
Xiu Xiu,"13"" Frank Beltrame Italian Stiletto with Bison Horn Grips",LP,September 27,October 2,3.5,★★★✬,,"experimental, indie, electronic, post-rock,"
Merce Lemon,Watch Me Drive Them Dogs Wild,LP,September 27,October 2,3.5,★★★✬,,"indie pop, rare sads, indie, indie rock,"
Broadcast,Distant Call - Collected Demos 2000 - 2006,LP,September 28,October 2,3.5,★★★✬,,"electronic, indie, indie pop, electronica,"
Efterklang,Things We Have In Common,LP,September 27,September 30,3.5,★★★✬,,"post-rock, electronic, ambient, danish,"
Alan Sparhawk,"White Roses, My God",LP,September 27,September 27,3.5,★★★✬,,"slowcore, indie, experimental, guitar,"
Bright Eyes,"Five Dice, All Threes",LP,September 20,September 25,3.5,★★★✬,,"indie, singer-songwriter, folk, indie rock,"
Tasha,All This and So Much More,LP,September 20,September 25,3.5,★★★✬,,"korean, rnb, hip-hop, k-pop,"
Milton Nascimento • Esperanza Spalding,Milton + esperanza,LP,August 9,September 25,3.5,★★★✬,,"jazz, female vocalists, contemporary jazz, bass,"
The Voidz,Like All Before You,LP,September 20,September 23,3.5,★★★✬,,"experimental rock, indie rock, experimental, neo-psychedelia,"
Galaxie 500,Uncollected Noise New York '88-'90,LP,September 20,September 23,3.5,★★★✬,,"shoegaze, dream pop, slowcore, indie,"
Clinic Stars,Only Hinting,LP,September 20,September 23,3.5,★★★✬,,"dream pop, shoegaze, ethereal, female vocalists,"
Nada Surf,Moon Mirror,LP,September 13,September 19,3.5,★★★✬,,"indie, indie rock, alternative, rock,"
Tindersticks,Soft Tissue,LP,September 13,September 18,3.5,★★★✬,,"indie, chamber pop, alternative, indie rock,"
Nilüfer Yanya,My Method Actor,LP,September 13,September 17,3.5,★★★✬,,"singer-songwriter, indie, indie rock, indie pop,"
Porches,Shirt,LP,September 13,September 17,3.5,★★★✬,,"synthpop, electronic, indie, new york,"
Floating Points,Cascade,LP,September 13,September 16,3.5,★★★✬,,"electronic, deep house, dubstep, chillout,"
Colin Stetson,The love it took to leave you,LP,September 13,September 16,3.5,★★★✬,,"experimental, jazz, avant-garde, avant-garde jazz,"
Party Dozen,Crime in Australia,LP,September 6,September 12,3.5,★★★✬,,"experimental, garage rock, rock, instrumental,"
Eli Smart,No Summer,LP,September 6,September 12,3.5,★★★✬,,"indie pop, indie rock,"
Many Eyes,The Light Age,LP,September 6,September 10,3.5,★★★✬,,"metalcore, rock, alternative metal, british,"
Hinds,VIVA HINDS,LP,September 6,September 9,3.5,★★★✬,,"lo-fi, indie rock, indie, spain,"
Fat Dog,WOOF.,LP,September 6,September 9,3.5,★★★✬,,"post-punk, new rave, ebm, dance punk,"
Dummy,Free Energy,LP,September 6,September 6,3.5,★★★✬,,"indie rock, punk rock, happy hardcore, hardcore,"
Jon Hopkins,RITUAL,LP,August 30,September 3,3.5,★★★✬,,"ambient, electronic, downtempo, chillout,"
Tycho,Infinite Health,LP,August 30,August 30,3.5,★★★✬,,"ambient, electronic, idm, chillout,"
Ellen Reid,Big Majestic,LP,August 30,August 30,3.5,★★★✬,,"canadian, bella topolina, occhi a cuoricino, ellen reid,"
Duster,In Dreams,LP,August 30,August 30,3.5,★★★✬,,"slowcore, space rock, shoegaze, indie rock,"
Ka,The Thief Next To Jesus,LP,August 23,August 29,3.5,★★★✬,,"hip-hop, rap, underground hip-hop, new york,"
The Softies,The Bed I Made,LP,August 23,August 29,3.5,★★★✬,,"twee, indie pop, indie, female vocalists,"
Sabrina Carpenter,Short n' Sweet,LP,August 23,August 26,3.5,★★★✬,,"pop, indie pop, alternative, folk,"
Horse Jumper Of Love,Disaster Trick,LP,August 16,August 19,3.5,★★★✬,,"slowcore, shoegaze, indie, indie rock,"
Starflyer 59,Lust for Gold,LP,August 16,August 19,3.5,★★★✬,,"shoegaze, indie, indie rock, rock,"
OSEES,SORCS 80,LP,August 9,August 14,3.5,★★★✬,,"garage rock, psychedelic rock, alternative rock, krautrock,"
beabadoobee,This Is How Tomorrow Moves,LP,August 9,August 13,3.5,★★★✬,,"indie pop, indie, bedroom pop, dream pop,"
